codigo_rj;idhm;area;populacao;densidade;escolaridade;receita;despesa;itai;wiki
3300100;0.724;813.42;167434;205.84;96.4;2642047490;2105059200;0.83;https://pt.wikipedia.org/wiki/Angra_dos_Reis
3300159;0.692;94.54;11034;116.71;96.7;105849120;107688032;0.37;https://pt.wikipedia.org/wiki/Aperib%C3%A9
3300209;0.718;638.27;129671;203.16;98.3;1023913540;1110651390;0.77;https://pt.wikipedia.org/wiki/Araruama
3300225;0.684;110.72;11828;106.82;98;154233472;149695952;0.8;https://pt.wikipedia.org/wiki/Areal
3300233;0.728;70.97;40006;563.65;97.6;564286080;695630660;0.76;https://pt.wikipedia.org/wiki/Arma%C3%A7%C3%A3o_dos_B%C3%BAzios
3300258;0.733;152.1;30986;203.71;99.2;674868670;594709630;0.7;https://pt.wikipedia.org/wiki/Arraial_do_Cabo
3300308;0.733;584.61;92883;158.88;98.7;357346816;437740608;0.87;https://pt.wikipedia.org/wiki/Barra_do_Pira%C3%AD
3300407;0.729;547.13;169894;310.52;98.4;907755710;882140990;0.81;https://pt.wikipedia.org/wiki/Barra_Mansa
3300456;0.684;78.98;483087;6116.19;96.2;1149927040;1302720130;0.63;https://pt.wikipedia.org/wiki/Belford_Roxo
3300506;0.66;382.43;28102;73.48;97.4;165896128;169930320;0.48;https://pt.wikipedia.org/wiki/Bom_Jardim_(Rio_de_Janeiro)
3300605;0.732;596.65;35173;58.95;98.1;239620160;228039744;0.71;https://pt.wikipedia.org/wiki/Bom_Jesus_do_Itabapoana
3300704;0.735;413.44;222161;537.34;96.9;1511318910;1491209090;0.92;https://pt.wikipedia.org/wiki/Cabo_Frio
3300803;0.7;954.74;56943;59.64;98.4;438779552;471608192;0.62;https://pt.wikipedia.org/wiki/Cachoeiras_de_Macacu
3300902;0.691;558.28;14616;26.18;98.8;123807480;107380312;0.62;https://pt.wikipedia.org/wiki/Cambuci
3300936;0.713;304.88;13847;45.42;98.7;2984807420;3329064960;0.64;https://pt.wikipedia.org/wiki/Carapebus
3300951;0.685;108.63;8741;80.46;99.4;575946750;552609470;0.71;https://pt.wikipedia.org/wiki/Comendador_Levy_Gasparian
3301009;0.716;4032.48;483540;119.91;97.3;209475360;168216176;0.79;https://pt.wikipedia.org/wiki/Campos_dos_Goytacazes
3301108;0.709;747.21;19390;25.95;95.4;95126032;101374416;0.46;https://pt.wikipedia.org/wiki/Cantagalo_(Rio_de_Janeiro)
3301157;0.648;522.59;12958;24.8;98.6;167688800;164059568;0.57;https://pt.wikipedia.org/wiki/Cardoso_Moreira
3301207;0.696;305.74;17198;56.25;98.6;86234112;130644696;0.73;https://pt.wikipedia.org/wiki/Carmo_(Rio_de_Janeiro)
