codigo_rj;area;populacao;densidade;escolaridade;pib
3300100;813.420;167434;205.84;96.4;53262.55
3300159;94.542;11034;116.71;96.7;20698.33
3300209;638.276;129671;203.16;98.3;31109.37
3300225;110.724;11828;106.82;98;33490.89
3300233;70.977;40006;563.65;97.6;84721.42
3300258;152.106;30986;203.71;99.2;87763.22
3300308;584.610;92883;158.88;98.7;26833.48
3300407;547.133;169894;310.52;98.4;34816.53
3300456;78.985;483087;6116.19;96.2;17156.71
3300506;382.430;28102;73.48;97.4;31941.54
3300605;596.659;35173;58.95;98.1;24343.72
3300704;413.449;222161;537.34;96.9;52801.54
3300803;954.749;56943;59.64;98.4;21885.51
3300902;558.281;14616;26.18;98.8;25807.81
3300936;304.885;13847;45.42;98.7;43108.68
3300951;108.639;8741;80.46;99.4;70311.39
3301009;4032.487;483540;119.91;97.3;72243.98
3301108;747.210;19390;25.95;95.4;41730.95
3301157;522.596;12958;24.8;98.6;30853.68
3301207;305.749;17198;56.25;98.6;29286.22
3301306;462.918;46110;99.61;98.5;51285.71
3301405;338.260;21104;62.39;98.8;18426.37
3301504;113.048;20783;183.84;97.6;20592.99
3301603;379.619;10980;28.92;97.8;21553.24
3301702;467.319;808161;1729.36;96.1;57170.07
3301801;139.381;12242;87.83;98.5;28769.59
3301850;358.443;51696;144.22;97.6;21920.68
3301876;50.977;27920;547.7;98.1;21517.5
3301900;429.961;224267;521.6;97.1;23078.43
3302007;282.606;116841;413.44;97.6;76916.73
3302056;291.193;14073;48.33;98.6;27215.6
3302106;433.182;22919;52.91;99.6;27396.34
3302205;1106.694;101041;91.3;96.1;32533.22
3302254;241.035;30908;128.23;98.2;213339.67
3302270;81.697;96289;1178.61;96.6;14395.69
3302304;253.530;7336;28.94;98;25235.04
3302403;1216.989;246391;202.46;96.9;66684.01
3302452;78.364;5415;69.1;97.7;38057.84
3302502;390.775;228127;583.78;97.7;19237.2
3302601;367.606;41220;112.13;96.7;69913.59
3302700;361.572;197277;545.61;96.4;511810.82
3302809;95.324;17502;183.61;99.3;19147.47
3302858;41.169;167127;4059.54;97.9;14796.57
3302908;287.933;26582;92.32;98.6;24686.21
3303005;303.270;26881;88.64;97.5;24404.52
3303104;387.073;15074;38.94;98.6;21186.94
3303203;19.393;146774;7568.4;96.7;18782.18
3303302;133.757;481749;3601.67;97;128333.01
3303401;935.429;189939;203.05;98.7;33000.12
3303500;520.581;785867;1509.6;96.2;21559.06
3303609;190.949;41375;216.68;96.1;21902.8
3303708;571.118;42063;73.65;98.6;28006.34
3303807;924.296;45243;48.95;93.8;44262.66
3303856;314.341;29619;94.23;97.7;24510.16
3303906;791.144;278881;352.5;97.4;51003.6
3303955;82.254;24298;295.4;96.7;56826.17
3304003;490.255;27474;56.04;97.7;82208.92
3304102;291.847;17288;59.24;99.1;21814.01
3304110;50.892;20373;400.32;98.9;209624.88
3304128;284.826;13682;48.04;97.6;20945.97
3304144;75.927;140523;1850.76;95.7;28636.92
3304151;719.643;22393;31.12;98.5;234850.73
3304201;1099.336;129612;117.9;97;80712.15
3304300;459.458;56276;122.48;97.2;30057.69
3304409;846.797;17401;20.55;97.7;23342.67
3304508;478.783;8954;18.7;98.5;31314.82
3304524;228.044;156491;686.23;98.2;56096.82
3304557;1200.329;6211223;5174.6;96.9;53078.23
3304607;810.963;10232;12.62;98.3;22599.44
3304706;603.633;41325;68.46;98.1;30081.81
3304755;1118.037;45059;40.3;98;28060.15
3304805;1034.833;38961;37.65;97.1;21811.97
3304904;248.160;896744;3613.57;96.7;18504.81
3305000;452.396;36573;80.84;97.5;269169.78
3305109;35.216;440962;12521.64;96.6;18935.5
3305133;249.688;7070;28.32;99.2;27190.85
3305158;220.178;22080;100.28;98.4;33522.52
3305208;332.488;104029;312.88;97.9;25509.14
3305307;397.214;7750;19.51;94.6;25625.42
3305406;540.673;17729;32.79;97.3;54765.99
3305505;352.130;89559;254.34;96.3;458767.96
3305554;265.189;80596;303.92;97.5;56977.34
3305604;937.755;21352;22.77;98.8;27675.96
3305703;413.407;15206;36.78;93.5;38202.73
3305752;143.007;31086;217.37;98.1;19902.27
3305802;773.338;165123;213.52;96.2;31880.03
3305901;591.151;10302;17.43;98.4;22718.51
3306008;322.843;78346;242.68;97.9;76977.41
3306107;1300.767;68088;52.34;97.7;40447.29
3306156;201.938;10207;50.55;96.8;23568.37
3306206;536.073;33976;63.38;98.8;35458.96
3306305;182.105;261563;1436.33;98.5;71551.44
