Codigo IBGE do Municipio;Codigo da Unidade da Federacao;Sigla da Unidade da Federacao;Nome das Grandes Regioes;Codigo IBGE da Mesoregiao;Nome da Mesoregiao;Codigo IBGE da Microregiao;Nome da Microregiao;area da unidade territorial;Estabelecimentos de Saude SUS;indice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matricula - Ensino fundamental - 2012;Matricula - Ensino medio - 2012;Numero de unidades locais;Pessoal ocupado total;PIB per capita a preços correntes;Populacao residente;Populacao residente - Homens;Populacao residente - Mulheres;Populacao residente alfabetizada;Populacao residente que frequentava creche ou escola;Populacao residente, religiao catolica apostolica romana;Populacao residente, religiao espirita;Populacao residente, religiao evangelicas;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes - Urbana;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Rural;Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar, por situacao do domicilio - Urbana
330010;33;RJ;Sudeste;3305;Sul Fluminense;33013;Baia da Ilha Grande;825,088;58;0,724;26742;6959;4306;48971;60119,62;169511;84666;84845;147785;53526;70209;3114;60307;406,67;550;1634,12;2595,28
330015;33;RJ;Sudeste;3301;Noroeste Fluminense;33002;Santo Antonio de Padua;94,636;8;0,692;1242;343;283;2132;8946,1;10213;5023;5190;8593;2672;5042;154;3604;400;430;1056,4;1622,55
330020;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;638,023;32;0,718;18810;4405;2360;22708;11290,91;112008;54283;57725;96062;33040;44004;3837;38042;250;500;1095,12;2180,2
330022;33;RJ;Sudeste;3303;Centro Fluminense;33005;Tres Rios;110,919;11;0,684;1614;235;511;7950;17154,8;11423;5661;5762;9848;3230;7461;1047;2119;370;500;1442,88;1948,85
330023;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;70,278;16;0,728;5973;1129;1885;13084;46806,66;27560;13742;13818;24074;7863;8525;586;10902;.;550;.;2573,25
330025;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;160,286;11;0,733;4238;1009;689;5718;12862,13;27715;13627;14088;24427;8190;12792;454;9239;.;517,5;.;2218,05
330030;33;RJ;Sudeste;3305;Sul Fluminense;33012;Barra do Pirai;578,965;41;0,733;11952;2564;2034;21071;14620,59;94778;45154;49624;83881;26419;51985;4567;27191;500;510;1435,05;2252,93
330040;33;RJ;Sudeste;3305;Sul Fluminense;33011;Vale do Paraiba Fluminense;547,226;69;0,729;22672;5679;4401;39991;18022,37;177813;85792;92021;158763;50697;97513;4528;54201;340;510;1645,39;2220,03
330045;33;RJ;Sudeste;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;77,815;58;0,684;73405;18777;4431;37059;9520,41;469332;226757;242575;406738;153662;152503;8550;174250;.;402,5;.;1600,98
330050;33;RJ;Sudeste;3303;Centro Fluminense;33007;Nova Friburgo;384,639;14;0,66;4148;763;868;5827;14030,05;25333;12720;12613;21264;6326;17860;282;4975;425;525;1538,55;2227,98
330060;33;RJ;Sudeste;3301;Noroeste Fluminense;33001;Itaperuna;598,825;35;0,732;5517;2037;869;6840;11494,55;35411;17196;18215;29964;10699;23837;533;8850;304;510;1092,79;2373,96
330070;33;RJ;Sudeste;3304;Baixadas;33010;Lagos;410,418;54;0,735;30275;6311;6155;49052;35182,24;186227;90831;95396;161724;57199;63163;4611;78061;500;540;2002,16;2755,31
