codigo_rj;idhm;area;populacao;densidade;escolaridade;receita;despesa;itai;link_wiki;nome_municipio;regiao;latitude;longitude
3300225;0.684;110.72;11828;106.82;98.0;1.54233472E8;1.49695952E8;0.8;https://pt.wikipedia.org/wiki/Areal;Areal;Centro Fluminense;-22.230833;-43.10583
3300456;0.684;78.98;483087;6116.19;96.2;1.14992704E9;1.30272013E9;0.63;https://pt.wikipedia.org/wiki/Belford_Roxo;Belford Roxo;Metropolitana;-22.76389;-43.398888
3305752;0.654;143.0;31086;217.37;98.1;1.89343792E8;1.92949904E8;0.74;https://pt.wikipedia.org/wiki/Tangu%C3%A1;Tanguá;Metropolitana;-22.73;-42.71389
3305158;0.66;220.17;22080;100.28;98.4;1.19476728E8;1.04299168E8;0.47;https://pt.wikipedia.org/wiki/S%C3%A3o_Jos%C3%A9_do_Vale_do_Rio_Preto;São José do Vale do Rio Preto;Metropolitana;-22.150833;-42.92389
3303203;0.753;19.39;146774;7568.4;96.7;3.91689696E8;5.07392864E8;0.81;https://pt.wikipedia.org/wiki/Nil%C3%B3polis;Nilópolis;Metropolitana;-22.809298;-43.41553
3302403;0.764;1216.98;246391;202.46;96.9;3.94926822E9;2.80207283E9;0.81;https://pt.wikipedia.org/wiki/Maca%C3%A9;Macaé;Norte Fluminense;-22.370832;-41.786945
3306107;0.738;1300.76;68088;52.34;97.7;3.0496068E7;2.3646388E7;0.71;https://pt.wikipedia.org/wiki/Valen%C3%A7a_(Rio_de_Janeiro);Valença;Sul Fluminense;-22.245832;-43.7
3300159;0.692;94.54;11034;116.71;96.7;1.0584912E8;1.07688032E8;0.37;https://pt.wikipedia.org/wiki/Aperib%C3%A9;Aperibé;Noroeste Fluminense;-21.620832;-42.342777
3300803;0.7;954.74;56943;59.64;98.4;4.38779552E8;4.71608192E8;0.62;https://pt.wikipedia.org/wiki/Cachoeiras_de_Macacu;Cachoeiras de Macacu;Metropolitana;-22.462778;-42.65278
3301801;0.722;139.38;12242;87.83;98.5;1.12646016E8;1.21172856E8;0.49;https://pt.wikipedia.org/wiki/Engenheiro_Paulo_de_Frontin;Engenheiro Paulo de Frontin;Metropolitana;-22.55;-43.677776
3301108;0.709;747.21;19390;25.95;95.4;9.5126032E7;1.01374416E8;0.46;https://pt.wikipedia.org/wiki/Cantagalo_(Rio_de_Janeiro);Cantagalo;Centro Fluminense;-21.980833;-42.36778
3303856;0.671;314.34;29619;94.23;97.7;2.21931744E8;2.23401968E8;0.82;https://pt.wikipedia.org/wiki/Paty_do_Alferes;Paty do Alferes;Metropolitana;-22.428888;-43.418888
3304557;0.799;1200.32;6211223;5174.6;96.9;3.7784146E10;4.3242246E10;0.85;https://pt.wikipedia.org/wiki/Rio_de_Janeiro;Rio de Janeiro;Metropolitana;-22.902779;-43.20778
3303807;0.693;924.29;45243;48.95;93.8;5.11496096E8;5.15143616E8;0.63;https://pt.wikipedia.org/wiki/Paraty;Paraty;Sul Fluminense;-23.2225;-44.71389
3304300;0.71;459.45;56276;122.48;97.2;3.71746528E8;4.93682176E8;0.52;https://pt.wikipedia.org/wiki/Rio_Bonito;Rio Bonito;Metropolitana;-22.707779;-42.62583
3302007;0.715;282.6;116841;413.44;97.6;9.9689293E8;1.02844864E9;0.83;https://pt.wikipedia.org/wiki/Itagua%C3%AD;Itaguaí;Metropolitana;-22.851944;-43.775
3300407;0.729;547.13;169894;310.52;98.4;9.0775571E8;8.8214099E8;0.81;https://pt.wikipedia.org/wiki/Barra_Mansa;Barra Mansa;Sul Fluminense;-22.543888;-44.170834
3301157;0.648;522.59;12958;24.8;98.6;1.676888E8;1.64059568E8;0.57;https://pt.wikipedia.org/wiki/Cardoso_Moreira;Cardoso Moreira;Centro Fluminense;-21.487778;-41.615833
3304805;0.691;1034.83;38961;37.65;97.1;2.99114336E8;2.7659792E8;0.64;https://pt.wikipedia.org/wiki/S%C3%A3o_Fid%C3%A9lis;São Fidélis;Norte Fluminense;-21.645832;-41.746944
3300506;0.66;382.43;28102;73.48;97.4;1.65896128E8;1.6993032E8;0.48;https://pt.wikipedia.org/wiki/Bom_Jardim_(Rio_de_Janeiro);Bom Jardim;Centro Fluminense;-22.151943;-42.418888
3300258;0.733;152.1;30986;203.71;99.2;6.7486867E8;5.9470963E8;0.7;https://pt.wikipedia.org/wiki/Arraial_do_Cabo;Arraial do Cabo;Baixadas;-22.965834;-42.02778
