codigo_rj;receita;despesa;itai
3300100;2642047486;2105059175;0.83
3300159;105849117.4;107688028.7;0.37
3300209;1023913543;1110651415;0.77
3300225;154233467.5;149695956.2;0.8
3300233;564286088.4;695630675.4;0.76
3300258;674868699;594709659.8;0.7
3300308;357346815;437740598.6;0.87
3300407;907755732.5;882140962.5;0.81
3300456;1149927003;1302720147;0.63
3300506;165896135.3;169930325.6;0.48
3300605;239620161.1;228039748.1;0.71
3300704;1511318950;1491209025;0.92
3300803;438779551.8;471608192;0.62
3300902;123807482;107380308.3;0.62
3301009;209475363.6;168216181.1;0.79
3301108;95126034.5;101374419;0.46
3300936;2984807495;3329065053;0.64
3301157;167688796.5;164059565.3;0.57
3301207;86234114.48;130644694.8;0.73
3301306;102677971.4;95446626.26;0.76
3300951;575946749.7;552609443.4;0.71
3301405;141024484.4;164770436.9;0.93
3301504;154181401.7;162280841.3;0.78
3301603;97548268.39;79305277.6;0.57
3301702;4432566332;4566621664;0.74
3301801;112646012.8;121172852.6;0.49
3301850;465794299.6;449068891.8;0.87
3301876;376682339.6;395938267.4;0.7
3301900;1026461543;1084529334;0.59
3302007;996892945;1028448671;0.83
3302056;132105213.7;122981095.5;0.71
3302106;143001885.7;144725384.1;0.51
3302205;514852700.7;485113643.5;0.45
3302254;386526955.1;363288823;0.78
3302270;366761094.7;414412689.3;0.7
3302304;88479925.84;80674335.1;0.45
3302403;3949268272;2802072767;0.81
3302452;81968414.08;75154115.89;0.5
3302502;912134753.2;1186191050;0.67
3302601;585167526.8;599477797.4;0.39
3302700;6351689732;6073477909;0.93
3302809;146168376.1;146390848.3;0.51
3302858;605572509;568570126.4;0.69
3302908;300543321.9;326025662.6;0.62
3303005;180104706.5;188971597.3;0.51
3303104;95854782.07;144694963.9;0.8
3303203;391689711.4;507392863.4;0.81
3303302;6015119140;5303439600;0.91
3303401;839506632.4;841562897.2;0.89
3303500;2511471373;2746121542;0.88
3303609;161861521.1;231539277.3;0.59
3303708;272108096.8;294976924;0.78
3303807;511496089;515143605.1;0.63
3303856;221931739;223401966.8;0.82
3303906;1987575169;1968360439;0.71
3303955;179781401.5;174855798.2;0.45
3304003;343948140.4;346536148.3;0.78
3304102;146108554.4;159897033.3;0.62
3304110;250199089.1;226462885.8;0.85
3304128;138283821.3;133623161.5;0.72
3304144;513313536.9;509034034.4;0.54
3304151;500754055;562116960.2;0.56
3304201;982774300.5;928747604.4;0.83
3304300;371746538.2;493682175.7;0.52
3304409;219871058.5;212196434.3;0.66
3304508;105582372.3;107120692.9;0.19
3304524;1114526723;1182932737;0.79
3304557;37784146487;43242247098;0.85
3304607;110222049.8;123408524;0.59
3304706;248618422;238889473.3;0.67
3304805;299114324.1;276597935.8;0.64
3304755;217898052.7;235386457.4;0.67
3304904;2074975505;2898447674;0.76
3305000;865275576.1;808722137.3;0.41
3305109;986963159;1081453935;0.62
3305133;85796173.9;73863986.9;0.47
3305158;119476728.9;104299168.4;0.47
3305208;492596849.9;558131182.7;0.87
3305307;93621217.67;99885407.65;0.52
3305406;180998065.9;185302101.9;0.48
3305505;2763662267;2359928431;0.58
3305554;452825681.1;460571440.2;0.65
3305604;340554452.9;307795254.7;0.46
3305703;84651509.82;73856701.59;0.61
3305752;189343793.7;192949911.2;0.74
3305802;931293167.5;930429979.6;0.59
3305901;107166200.9;110795345.2;0.77
3306008;532820731;509644120.4;0.54
3306107;30496067.61;23646387.53;0.71
3306156;108727341.4;99106996.13;0.72
3306206;302335868.2;279934505.7;0.48
3306305;870236156;1604047337;0.63
