Municipio;codigo;latitude;longitude;populacao;areatotal;receitatotal;indicadordetransparencia;idhm
Angra dos Reis;3300100;-23,006944;-44,317778;203785;813,21;1295232343,1;0,83;0,724
Aperibé;3300159;-21,620833;-42,342778;11759;94,542;53778217,2;0,37;0,692
Araruama;3300209;-22,872778;-42,342778;132400;638,15;457079334,1;0,77;0,718
Areal;3300225;-22,230833;-43,105833;12572;110,724;70108976,32;0,8;0,684
Armação dos Búzios;3300233;-22,746944;-41,881944;40532;70,978;305735363,1;0,76;0,728
Arraial do Cabo;3300258;-22,965833;-42,027778;30349;152,106;197647559,9;0,7;0,733
Barra do Piraí;3300308;-22,470000;-43,825833;184412;584,61;567798416,8;0,87;0,733
Barra Mansa;3300407;-22,3038214;-44,02235371;100374;547,133;286970216,9;0,81;0,729
Belford Roxo;3300456;-22,68503729;-43,36511717;510906;78,985;743467122,6;0,63;0,684
Bom Jardim;3300506;-22,11703766;-42,44683989;27446;382,43;103822835,2;0,48;0,66
Bom Jesus do Itabapoana;3300605;-20,86436244;-41,72671165;37096;596,659;116904819,9;0,71;0,732
Cabo Frio;3300704;-22,54597793;-42,13150173;219863;413,575;886968930,5;0,92;0,735
Cachoeiras de Macacu;3300803;-22,37744056;-42,71136934;58937;954,749;195880749,5;0,62;0,7
Cambuci;3300902;-21,326424;-41,81489202;15505;558,281;71894739,42;0,62;0,691
Campos dos Goytacazes;3301009;-22,12252742;-41,63810167;507548;4032,487;1908424956,1;0,79;0,716
Cantagalo;3301108;-21,46323194;-41,41251754;20172;747,21;101388889,2;0,46;0,709
Carapebus;3300936;-21,19525813;-41,37711657;16301;304,885;112567415,8;0,64;0,713
Cardoso Moreira;3301157;-21,84041027;-42,44001461;12823;522,596;75314411,29;0,57;0,648
Carmo;3301207;-22,36117663;-42,21134318;18895;305,749;192393000,9;0,73;0,696
Casimiro de Abreu;3301306;-22,01007794;-43,33895992;44184;462,918;280096658,5;0,76;0,726
Comendador Levy Gasparian;3300951;-21,69764236;-42,23731483;8561;108,639;49477946,56;0,71;0,685
Conceição de Macabu;3301405;-22,04862045;-41,88799219;23228;338,26;94042648,77;0,93;0,712
Cordeiro;3301504;-21,99730146;-42,3177571;21926;113,048;95227109,88;0,78;0,729
Duas Barras;3301603;-21,90652773;-42,52728826;11492;379,619;65429250,61;0,57;0,659
Duque de Caxias;3301702;-22,50992626;-43,23801161;919596;467,319;2636891941,1;0,74;0,711
Engenheiro Paulo de Frontin;3301801;-22,50408647;-43,56053807;14002;139,381;71185387,13;0,49;0,722
Guapimirim;3301850;-22,45543617;-43,04037465;60517;358,443;189632761,9;0,87;0,698
Iguaba Grande;3301876;-22,85490094;-42,1962346;28310;50,977;124888332,4;0,7;0,761
Itaboraí;3301900;-22,63611919;-42,84454157;240592;429,961;622442800,4;0,59;0,693
Itaguaí;3302007;-23,05731119;-43,82790027;133019;282,606;587642001,4;0,83;0,715
Italva;3302056;-21,31643502;-41,58413643;15207;291,193;65925806,42;0,71;0,688
Itaocara;3302106;-21,6276326;-41,93765192;23234;433,182;86144597,05;0,51;0,713
Itaperuna;3302205;-21,03009258;-42,07975198;103224;106,694;342053888,1;0,45;0,73
Itatiaia;3302254;-22,32146845;-44,58738057;31805;241,035;245219338,9;0,78;0,737
Japeri;3302270;-22,63581388;-43,5587929;104768;81,697;223521265,1;0,7;0,659
Laje do Muriaé;3302304;-21,17442251;-42,1857103;7355;253,53;51768680,2;0,45;0,668
Macaé;3302403;-22,41007439;-41,69831833;256672;1216,989;2332428941,1;0,81;0,764
Macuco;3302452;-21,97431046;-42,29987374;5599;78,364;46392142,83;0,5;0,703
Magé;3302502;-22,48470983;-43,06153288;245071;390,775;520024584,8;0,67;0,709
Mangaratiba;3302601;-23,04270439;-44,13590957;44468;367,816;342168109,5;0,39;0,753
Maricá;3302700;-22,84120485;-42,73157785;161207;361,572;2403302918,1;0,93;0,765
Mendes;3302809;-22,54148379;-43,69754335;18614;95,324;78163863,64;0,51;0,736
Mesquita;3302858;-22,77691938;-43,39618028;176103;41,169;345957344,3;0,69;0,737
Miguel Pereira;3302908;-22,43957832;-43,44922428;25538;287,933;175058136,5;0,62;0,745
Miracema;3303005;-21,30551975;-42,14240314;27174;303,27;106854475,7;0,51;0,713
Natividade;3303104;-20,94044466;-41,91270883;15317;387,073;78301858,35;0,8;0,73
Nilópolis;3303203;-22,83389759;-43,4253239;162485;19,393;358654680,6;0,81;0,753
Niterói;3303302;-22,87619869;-43,02929868;513584;133,757;3898368497,1;0,91;0,837
Nova Friburgo;3303401;-22,16038346;-42,52517994;190631;935,429;515476065,8;0,89;0,745
Nova Iguaçu;3303500;-22,52665671;-43,44687127;821128;520,581;1787365480,1;0,88;0,713
Paracambi;3303609;-22,56850384;-43,59793281;52257;190,949;161664403,2;0,59;0,72
